ID,Image,Orientation,Height (mm),Width (mm),Made On,Title,Medium,Location,Painting Cost,Framed,Framing Cost,List Price,Featured,Status,Exhibited,Sales Channel,Sold On,Sold Price,Bought By
150,/art/150.jpg,Horizontal,380,530,01/01/2026,Fullerton Canoe,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
151,/art/151.jpg,Vertical,530,380,01/01/2026,Wisdom,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
152,/art/152.jpg,Vertical,530,380,01/01/2026,Chinatown,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
153,/art/153.jpg,Vertical,530,380,03/01/2026,Merlion,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
154,/art/154.jpg,Horizontal,380,530,03/01/2026,Tudor Court Shopping Gallery,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
155,/art/155.jpg,Horizontal,380,530,04/01/2026,When the Cars Aren't Around,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
156,/art/156.jpg,Vertical,530,380,09/01/2026,Last Legs,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
157,/art/157.jpg,Horizontal,380,530,09/01/2026,What we are fighting for,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
158,/art/158.jpg,Horizontal,380,530,10/01/2026,Drawbridge,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
159,/art/159.jpg,Vertical,530,380,09/01/2026,Oops!,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
160,/art/160.jpg,Horizontal,380,530,10/01/2026,Pioneer MRT,Watercolor on Paper,Home,5,FALSE,,45,FALSE,Available,,,,,
161,/art/161.jpg,Vertical,270,190,15/01/2026,Tree of Knowledge,Watercolor on Paper,Home,2.5,TRUE,5,25,FALSE,Available,,,,,
162,/art/162.jpg,Horizontal,380,530,17/01/2026,Drenched Soccer,Watercolor on Paper,Home,5,TRUE,5,25,FALSE,Available,,,,,
163,/art/163.jpg,Horizontal,380,530,17/01/2026,Seragoon Road,Watercolor on Paper,Home,5,TRUE,5,25,FALSE,Available,,,,,
164,/art/164.jpg,Horizontal,190,270,17/01/2026,Flourishing Market,Watercolor on Paper,Home,2.5,TRUE,5,25,FALSE,Available,,,,,
165,/art/165.jpg,Horizontal,210,310,20/01/2026,Road Trip!,Watercolor on Paper,Home,2.5,TRUE,5,25,FALSE,Available,,,,,
166,/art/166.jpg,Vertical,310,210,21/01/2026,Bruno's,Watercolor on Paper,Home,2.5,TRUE,5,25,FALSE,Available,,,,,
167,/art/167.jpg,Vertical,310,210,22/01/2026,Onwards,Watercolor on Paper,Home,2.5,TRUE,5,25,FALSE,Sold,,NAF26,2026-01-26,25,
168,/art/168.jpg,Horizontal,210,310,23/01/2026,Beach Rd Scissors II,Watercolor on Paper,Home,2.5,TRUE,5,25,FALSE,Sold,,NAF26,2026-02-02,20,
169,/art/169.jpg,Horizontal,380,530,24/01/2026,National Gallery,Watercolor on Paper,Home,7,FALSE,,45,TRUE,Available,,,,,
170,/art/170.jpg,Horizontal,380,530,25/01/2026,Blk 79 Tiong Bahru,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
171,/art/171.jpg,Vertical,530,380,31/01/2026,Reminisce II,Watercolor on Paper,Home,7,FALSE,,45,TRUE,Available,,,,,
172,/art/172.jpg,Horizontal,380,530,31/01/2026,Chinatown Skyline,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
173,/art/173.jpg,Horizontal,380,530,31/01/2026,Ang Sang Hill II,Watercolor on Paper,Home,7,FALSE,,45,FALSE,Available,,,,,
174,/art/174.jpg,Vertical,210,310,03/02/2026,Bouquet Trace,Watercolor on Paper,Home,2.5,TRUE,5,20,FALSE,Available,,,,,
